chapter,number,authors,year,title,venue,pages,doi,url,accessed,confidence,raw
3,16,"Ravanelli, M., Parcollet, T., Plantinga, P., Rouhe, A., Cornell, S., Lugosch, L., Subakan, C., Dawalatabad, N., Heba, A., Zhong, J., Chou, J.-C., Yeh, S.-L., Fu, S.-W., Liao, C.-F., Rastorgueva, E., Grondin, F., Aris, W., Na, H., Gao, Y., De Mori, R., & Bengio, Y",2021,SpeechBrain: A General-Purpose Speech Toolkit,arXiv:2106.04624,,,https://arxiv.org/abs/2106.04624,,medium,"Ravanelli, M., Parcollet, T., Plantinga, P., Rouhe, A., Cornell, S., Lugosch, L., Subakan, C., Dawalatabad, N., Heba, A., Zhong, J., Chou, J.-C., Yeh, S.-L., Fu, S.-W., Liao, C.-F., Rastorgueva, E., Grondin, F., Aris, W., Na, H., Gao, Y., De Mori, R., & Bengio, Y. (2021). SpeechBrain: A General-Purpose Speech Toolkit. arXiv:2106.04624. https://arxiv.org/abs/2106.04624"
3,17,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G",2020,Common Voice: A Massively-Multilingual Speech Corpus,LREC,4218-4222,,https://aclanthology.org/2020.lrec-1.520/,19 June 2026,high,"Ardila, R., Branson, M., Davis, K., Kohler, M., Meyer, J., Henretty, M., Morais, R., Saunders, L., Tyers, F., & Weber, G. (2020). Common Voice: A Massively-Multilingual Speech Corpus. LREC, 4218-4222. https://aclanthology.org/2020.lrec-1.520/ Accessed 19 June 2026."
3,18,Mozilla Foundation,2026,Common Voice: Arabic dataset card,Common Voice,,,https://commonvoice.mozilla.org/ar/datasets,19 June 2026,high,Mozilla Foundation. (2026). Common Voice: Arabic dataset card. Common Voice. https://commonvoice.mozilla.org/ar/datasets Accessed 19 June 2026.
3,19,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
3,20,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A",2021,"QASR: QCRI Aljazeera Speech Resource, a large-scale annotated Arabic speech corpus",Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),2274-2285,,https://aclanthology.org/2021.acl-long.177/,19 June 2026,high,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A. (2021). QASR: QCRI Aljazeera Speech Resource, a large-scale annotated Arabic speech corpus. Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers), 2274-2285. https://aclanthology.org/2021.acl-long.177/ Accessed 19 June 2026."
3,21,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M",2023,MASC: Massive Arabic Speech Corpus,IEEE Spoken Language Technology Workshop (SLT),1006-1013,10.1109/SLT54892.2023.10022652,https://doi.org/10.1109/SLT54892.2023.10022652,,high,"Al-Fetyani, M., Al-Barham, M., Abandah, G. A., Alsharkawi, A., & Dawas, M. (2023). MASC: Massive Arabic Speech Corpus. IEEE Spoken Language Technology Workshop (SLT), 1006-1013. https://doi.org/10.1109/SLT54892.2023.10022652"
3,22,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
3,23,"Kulkarni, A., Kulkarni, A., Shatnawi, S., & Aldarmaki, H",2023,ClArTTS: An open-source Classical Arabic text-to-speech corpus,Interspeech,5511-5515,10.21437/Interspeech.2023-2224,https://doi.org/10.21437/Interspeech.2023-2224,,high,"Kulkarni, A., Kulkarni, A., Shatnawi, S., & Aldarmaki, H. (2023). ClArTTS: An open-source Classical Arabic text-to-speech corpus. Interspeech, 5511-5515. https://doi.org/10.21437/Interspeech.2023-2224"
3,24,"Toyin, H. O., Marew, R., Alblooshi, H., Magdy, S. M., & Aldarmaki, H",2025,ArVoice: A multi-speaker dataset for Arabic speech synthesis,Interspeech,4808-4812,10.21437/Interspeech.2025-1550,https://doi.org/10.21437/Interspeech.2025-1550,,high,"Toyin, H. O., Marew, R., Alblooshi, H., Magdy, S. M., & Aldarmaki, H. (2025). ArVoice: A multi-speaker dataset for Arabic speech synthesis. Interspeech, 4808-4812. https://doi.org/10.21437/Interspeech.2025-1550"
3,25,"McAuliffe, M., Socolof, M., Mihuc, S., Wagner, M., & Sonderegger, M",2017,Montreal Forced Aligner: Trainable Text-Speech Alignment Using Kaldi,Interspeech,498-502,10.21437/Interspeech.2017-1386,https://doi.org/10.21437/Interspeech.2017-1386,,high,"McAuliffe, M., Socolof, M., Mihuc, S., Wagner, M., & Sonderegger, M. (2017). Montreal Forced Aligner: Trainable Text-Speech Alignment Using Kaldi. Interspeech, 498-502. https://doi.org/10.21437/Interspeech.2017-1386"
4,1,"Jelinek, F",1976,Continuous speech recognition by statistical methods,"Proceedings of the IEEE, 64(4)",532-556,10.1109/PROC.1976.10159,https://doi.org/10.1109/PROC.1976.10159,,high,"Jelinek, F. (1976). Continuous speech recognition by statistical methods. Proceedings of the IEEE, 64(4), 532-556. https://doi.org/10.1109/PROC.1976.10159"
4,2,"Rabiner, L. R",1989,A tutorial on hidden Markov models and selected applications in speech recognition,"Proceedings of the IEEE, 77(2)",257-286,10.1109/5.18626,https://doi.org/10.1109/5.18626,,high,"Rabiner, L. R. (1989). A tutorial on hidden Markov models and selected applications in speech recognition. Proceedings of the IEEE, 77(2), 257-286. https://doi.org/10.1109/5.18626"
4,3,"Gales, M., & Young, S",2008,The Application of Hidden Markov Models in Speech Recognition,"Foundations and Trends in Signal Processing, 1(3)",195-304,10.1561/2000000004,https://doi.org/10.1561/2000000004,,high,"Gales, M., & Young, S. (2008). The Application of Hidden Markov Models in Speech Recognition. Foundations and Trends in Signal Processing, 1(3), 195-304. https://doi.org/10.1561/2000000004"
4,4,"Young, S. J., Odell, J. J., & Woodland, P. C",1994,Tree-Based State Tying for High Accuracy Acoustic Modelling,Proceedings of the Workshop on Human Language Technology (HLT ’94),307-312,10.3115/1075812.1075885,https://doi.org/10.3115/1075812.1075885,,high,"Young, S. J., Odell, J. J., & Woodland, P. C. (1994). Tree-Based State Tying for High Accuracy Acoustic Modelling. Proceedings of the Workshop on Human Language Technology (HLT ’94), 307-312. https://doi.org/10.3115/1075812.1075885"
4,5,"Kneser, R., & Ney, H",1995,Improved backing-off for M-gram language modeling,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), 1",181-184,10.1109/ICASSP.1995.479394,https://doi.org/10.1109/ICASSP.1995.479394,,high,"Kneser, R., & Ney, H. (1995). Improved backing-off for M-gram language modeling. IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP), 1, 181-184. https://doi.org/10.1109/ICASSP.1995.479394"
4,6,"Kirchhoff, K., Vergyri, D., Bilmes, J., Duh, K., & Stolcke, A",2006,Morphology-based language modeling for conversational Arabic speech recognition,"Computer Speech & Language, 20(4)",589-608,10.1016/j.csl.2005.10.001,https://doi.org/10.1016/j.csl.2005.10.001,,high,"Kirchhoff, K., Vergyri, D., Bilmes, J., Duh, K., & Stolcke, A. (2006). Morphology-based language modeling for conversational Arabic speech recognition. Computer Speech & Language, 20(4), 589-608. https://doi.org/10.1016/j.csl.2005.10.001"
4,7,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N",2020,CAMeL Tools: An Open Source Python Toolkit for Arabic Natural Language Processing,Proceedings of the Twelfth Language Resources and Evaluation Conference (European Language Resources Association),7022-7032,,https://aclanthology.org/2020.lrec-1.868/,19 June 2026,high,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N. (2020). CAMeL Tools: An Open Source Python Toolkit for Arabic Natural Language Processing. Proceedings of the Twelfth Language Resources and Evaluation Conference (European Language Resources Association), 7022-7032. https://aclanthology.org/2020.lrec-1.868/ Accessed 19 June 2026."
4,8,"Qi, P., Zhang, Y., Zhang, Y., Bolton, J., & Manning, C. D",2020,Stanza: A Python Natural Language Processing Toolkit for Many Human Languages,Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations (Association for Computational Linguistics),101-108,,https://aclanthology.org/2020.acl-demos.14/,19 June 2026,high,"Qi, P., Zhang, Y., Zhang, Y., Bolton, J., & Manning, C. D. (2020). Stanza: A Python Natural Language Processing Toolkit for Many Human Languages. Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics: System Demonstrations (Association for Computational Linguistics), 101-108. https://aclanthology.org/2020.acl-demos.14/ Accessed 19 June 2026."
4,9,"Sennrich, R., Haddow, B., & Birch, A",2016,Neural Machine Translation of Rare Words with Subword Units,Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),1715-1725,10.18653/v1/P16-1162,https://doi.org/10.18653/v1/P16-1162,,high,"Sennrich, R., Haddow, B., & Birch, A. (2016). Neural Machine Translation of Rare Words with Subword Units. Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), 1715-1725. https://doi.org/10.18653/v1/P16-1162"
4,10,"Kudo, T., & Richardson, J",2018,SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,66-71,10.18653/v1/D18-2012,https://doi.org/10.18653/v1/D18-2012,,high,"Kudo, T., & Richardson, J. (2018). SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing. Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations, 66-71. https://doi.org/10.18653/v1/D18-2012"
4,11,"Mohri, M., Pereira, F., & Riley, M",2002,Weighted finite-state transducers in speech recognition,"Computer Speech & Language, 16(1)",69-88,10.1006/csla.2001.0184,https://doi.org/10.1006/csla.2001.0184,,high,"Mohri, M., Pereira, F., & Riley, M. (2002). Weighted finite-state transducers in speech recognition. Computer Speech & Language, 16(1), 69-88. https://doi.org/10.1006/csla.2001.0184"
4,12,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B",2012,Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups,"IEEE Signal Processing Magazine, 29(6)",82-97,10.1109/MSP.2012.2205597,https://doi.org/10.1109/MSP.2012.2205597,,high,"Hinton, G., Deng, L., Yu, D., Dahl, G. E., Mohamed, A., Jaitly, N., Senior, A., Vanhoucke, V., Nguyen, P., Sainath, T. N., & Kingsbury, B. (2012). Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups. IEEE Signal Processing Magazine, 29(6), 82-97. https://doi.org/10.1109/MSP.2012.2205597"
4,13,"Hochreiter, S., & Schmidhuber, J",1997,Long Short-Term Memory,"Neural Computation, 9(8)",1735-1780,10.1162/neco.1997.9.8.1735,https://doi.org/10.1162/neco.1997.9.8.1735,,high,"Hochreiter, S., & Schmidhuber, J. (1997). Long Short-Term Memory. Neural Computation, 9(8), 1735-1780. https://doi.org/10.1162/neco.1997.9.8.1735"
4,14,"Cho, K., van Merrienboer, B., Gulcehre, C., Bahdanau, D., Bougares, F., Schwenk, H., & Bengio, Y",2014,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),1724-1734,10.3115/v1/D14-1179,https://doi.org/10.3115/v1/D14-1179,,high,"Cho, K., van Merrienboer, B., Gulcehre, C., Bahdanau, D., Bougares, F., Schwenk, H., & Bengio, Y. (2014). Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation. Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP), 1724-1734. https://doi.org/10.3115/v1/D14-1179"
4,15,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I",2017,Attention is All you Need,Advances in Neural Information Processing Systems 30 (NeurIPS),5998-6008,,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,19 June 2026,high,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I. (2017). Attention is All you Need. Advances in Neural Information Processing Systems 30 (NeurIPS), 5998-6008. https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html Accessed 19 June 2026."
4,16,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R",2020,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech,5036-5040,10.21437/Interspeech.2020-3015,https://doi.org/10.21437/Interspeech.2020-3015,,high,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R. (2020). Conformer: Convolution-augmented Transformer for Speech Recognition. Interspeech, 5036-5040. https://doi.org/10.21437/Interspeech.2020-3015"
4,17,"Park, D. S., Chan, W., Zhang, Y., Chiu, C.-C., Zoph, B., Cubuk, E. D., & Le, Q. V",2019,SpecAugment: A simple data augmentation method for automatic speech recognition,Interspeech,2613-2617,10.21437/Interspeech.2019-2680,https://doi.org/10.21437/Interspeech.2019-2680,,high,"Park, D. S., Chan, W., Zhang, Y., Chiu, C.-C., Zoph, B., Cubuk, E. D., & Le, Q. V. (2019). SpecAugment: A simple data augmentation method for automatic speech recognition. Interspeech, 2613-2617. https://doi.org/10.21437/Interspeech.2019-2680"
4,18,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
4,19,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
4,20,"Hussein, A., Watanabe, S., & Ali, A",2022,"Arabic speech recognition by end-to-end, modular systems and human","Computer Speech & Language, 71, 101272",,10.1016/j.csl.2021.101272,https://doi.org/10.1016/j.csl.2021.101272,,high,"Hussein, A., Watanabe, S., & Ali, A. (2022). Arabic speech recognition by end-to-end, modular systems and human. Computer Speech & Language, 71, 101272. https://doi.org/10.1016/j.csl.2021.101272"
5,1,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R",2020,Conformer: Convolution-augmented Transformer for Speech Recognition,Interspeech,5036-5040,10.21437/Interspeech.2020-3015,https://doi.org/10.21437/Interspeech.2020-3015,,high,"Gulati, A., Qin, J., Chiu, C.-C., Parmar, N., Zhang, Y., Yu, J., Han, W., Wang, S., Zhang, Z., Wu, Y., & Pang, R. (2020). Conformer: Convolution-augmented Transformer for Speech Recognition. Interspeech, 5036-5040. https://doi.org/10.21437/Interspeech.2020-3015"
5,2,"Hussein, A., Watanabe, S., & Ali, A",2022,"Arabic speech recognition by end-to-end, modular systems and human","Computer Speech & Language, 71, 101272",,10.1016/j.csl.2021.101272,https://doi.org/10.1016/j.csl.2021.101272,,high,"Hussein, A., Watanabe, S., & Ali, A. (2022). Arabic speech recognition by end-to-end, modular systems and human. Computer Speech & Language, 71, 101272. https://doi.org/10.1016/j.csl.2021.101272"
5,3,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J",2006,Connectionist temporal classification: Labelling unsegmented sequence data with recurrent neural networks,Proceedings of the 23rd International Conference on Machine Learning (ICML),369-376,10.1145/1143844.1143891,https://doi.org/10.1145/1143844.1143891,,high,"Graves, A., Fernández, S., Gomez, F., & Schmidhuber, J. (2006). Connectionist temporal classification: Labelling unsegmented sequence data with recurrent neural networks. Proceedings of the 23rd International Conference on Machine Learning (ICML), 369-376. https://doi.org/10.1145/1143844.1143891"
5,4,"Graves, A",2012,Sequence transduction with recurrent neural networks,ICML Representation Learning Workshop. arXiv:1211.3711,,,https://arxiv.org/abs/1211.3711,,high,"Graves, A. (2012). Sequence transduction with recurrent neural networks. ICML Representation Learning Workshop. arXiv:1211.3711. https://arxiv.org/abs/1211.3711"
5,5,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O",2016,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",4960-4964,10.1109/ICASSP.2016.7472621,https://doi.org/10.1109/ICASSP.2016.7472621,,high,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O. (2016). Listen, attend and spell: A neural network for large vocabulary conversational speech recognition. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 4960-4964. https://doi.org/10.1109/ICASSP.2016.7472621"
5,6,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I",2017,Attention is All you Need,Advances in Neural Information Processing Systems 30 (NeurIPS),5998-6008,,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,19 June 2026,high,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A. N., Kaiser, L., & Polosukhin, I. (2017). Attention is All you Need. Advances in Neural Information Processing Systems 30 (NeurIPS), 5998-6008. https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html Accessed 19 June 2026."
5,7,"Watanabe, S., Hori, T., Kim, S., Hershey, J. R., & Hayashi, T",2017,Hybrid CTC/Attention Architecture for End-to-End Speech Recognition,"IEEE Journal of Selected Topics in Signal Processing, 11(8)",1240-1253,10.1109/JSTSP.2017.2763455,https://doi.org/10.1109/JSTSP.2017.2763455,,high,"Watanabe, S., Hori, T., Kim, S., Hershey, J. R., & Hayashi, T. (2017). Hybrid CTC/Attention Architecture for End-to-End Speech Recognition. IEEE Journal of Selected Topics in Signal Processing, 11(8), 1240-1253. https://doi.org/10.1109/JSTSP.2017.2763455"
5,8,"Watanabe, S., Hori, T., Karita, S., Hayashi, T., Nishitoba, J., Unno, Y., Yalta Soplin, N. E., Heymann, J., Wiesner, M., Chen, N., Renduchintala, A., & Ochiai, T",2018,ESPnet: End-to-End Speech Processing Toolkit,Interspeech,2207-2211,10.21437/Interspeech.2018-1456,https://doi.org/10.21437/Interspeech.2018-1456,,high,"Watanabe, S., Hori, T., Karita, S., Hayashi, T., Nishitoba, J., Unno, Y., Yalta Soplin, N. E., Heymann, J., Wiesner, M., Chen, N., Renduchintala, A., & Ochiai, T. (2018). ESPnet: End-to-End Speech Processing Toolkit. Interspeech, 2207-2211. https://doi.org/10.21437/Interspeech.2018-1456"
5,9,"Kannan, A., Wu, Y., Nguyen, P., Sainath, T. N., Chen, Z., & Prabhavalkar, R",2018,An Analysis of Incorporating an External Language Model into a Sequence-to-Sequence Model,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",5824-5828,10.1109/ICASSP.2018.8462682,https://doi.org/10.1109/ICASSP.2018.8462682,,high,"Kannan, A., Wu, Y., Nguyen, P., Sainath, T. N., Chen, Z., & Prabhavalkar, R. (2018). An Analysis of Incorporating an External Language Model into a Sequence-to-Sequence Model. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 5824-5828. https://doi.org/10.1109/ICASSP.2018.8462682"
5,10,"Sennrich, R., Haddow, B., & Birch, A",2016,Neural Machine Translation of Rare Words with Subword Units,Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),1715-1725,10.18653/v1/P16-1162,https://doi.org/10.18653/v1/P16-1162,,high,"Sennrich, R., Haddow, B., & Birch, A. (2016). Neural Machine Translation of Rare Words with Subword Units. Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), 1715-1725. https://doi.org/10.18653/v1/P16-1162"
5,11,"Kudo, T., & Richardson, J",2018,SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations,66-71,10.18653/v1/D18-2012,https://doi.org/10.18653/v1/D18-2012,,high,"Kudo, T., & Richardson, J. (2018). SentencePiece: A simple and language independent subword tokenizer and detokenizer for Neural Text Processing. Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing: System Demonstrations, 66-71. https://doi.org/10.18653/v1/D18-2012"
5,12,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N",2020,CAMeL Tools: An Open Source Python Toolkit for Arabic Natural Language Processing,Proceedings of the Twelfth Language Resources and Evaluation Conference (European Language Resources Association),7022-7032,,https://aclanthology.org/2020.lrec-1.868/,19 June 2026,high,"Obeid, O., Zalmout, N., Khalifa, S., Taji, D., Oudah, M., Alhafni, B., Inoue, G., Eryani, F., Erdmann, A., & Habash, N. (2020). CAMeL Tools: An Open Source Python Toolkit for Arabic Natural Language Processing. Proceedings of the Twelfth Language Resources and Evaluation Conference (European Language Resources Association), 7022-7032. https://aclanthology.org/2020.lrec-1.868/ Accessed 19 June 2026."
5,13,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y",2016,The MGB-2 challenge: Arabic multi-dialect broadcast media recognition,IEEE Spoken Language Technology Workshop (SLT),279-284,10.1109/SLT.2016.7846277,https://doi.org/10.1109/SLT.2016.7846277,,high,"Ali, A., Bell, P., Glass, J., Messaoui, Y., Mubarak, H., Renals, S., & Zhang, Y. (2016). The MGB-2 challenge: Arabic multi-dialect broadcast media recognition. IEEE Spoken Language Technology Workshop (SLT), 279-284. https://doi.org/10.1109/SLT.2016.7846277"
5,14,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A",2021,"QASR: QCRI Aljazeera Speech Resource, a large-scale annotated Arabic speech corpus",Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),2274-2285,,https://aclanthology.org/2021.acl-long.177/,19 June 2026,high,"Mubarak, H., Hussein, A., Chowdhury, S. A., & Ali, A. (2021). QASR: QCRI Aljazeera Speech Resource, a large-scale annotated Arabic speech corpus. Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers), 2274-2285. https://aclanthology.org/2021.acl-long.177/ Accessed 19 June 2026."
5,15,"Talafha, B., Kadaoui, K., Magdy, S. M., Habiboullah, M., Chafei, C. M., El-Shangiti, A. O., Zayed, H., Tourad, M. C., Alhamouri, R., Assi, R., Alraeesi, A., Mohamed, H., Alwajih, F., Mohamed, A., El Mekki, A., Nagoudi, E. M. B., Saadia, B. D. M., Alsayadi, H. A., Al-Dhabyani, W., Shatnawi, S., Ech-chammakhy, Y., Makouar, A., Berrachedi, Y., Jarrar, M., Shehata, S., Berrada, I., & Abdul-Mageed, M",2024,Casablanca: Data and Models for Multidialectal Arabic Speech Recognition,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,21745-21758,10.18653/v1/2024.emnlp-main.1211,https://doi.org/10.18653/v1/2024.emnlp-main.1211,,high,"Talafha, B., Kadaoui, K., Magdy, S. M., Habiboullah, M., Chafei, C. M., El-Shangiti, A. O., Zayed, H., Tourad, M. C., Alhamouri, R., Assi, R., Alraeesi, A., Mohamed, H., Alwajih, F., Mohamed, A., El Mekki, A., Nagoudi, E. M. B., Saadia, B. D. M., Alsayadi, H. A., Al-Dhabyani, W., Shatnawi, S., Ech-chammakhy, Y., Makouar, A., Berrachedi, Y., Jarrar, M., Shehata, S., Berrada, I., & Abdul-Mageed, M. (2024). Casablanca: Data and Models for Multidialectal Arabic Speech Recognition. Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing, 21745-21758. https://doi.org/10.18653/v1/2024.emnlp-main.1211"
5,16,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y",2024,SADA: Saudi Audio Dataset for Arabic,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10286-10290,10.1109/ICASSP48485.2024.10446243,https://doi.org/10.1109/ICASSP48485.2024.10446243,,high,"Alharbi, S., Alowisheq, A., Tüske, Z., Darwish, K., Alrajeh, A., Alrowithi, A., Bin Tamran, A., Ibrahim, A., Aloraini, R., Alnajim, R., Alkahtani, R., Almuasaad, R., Alrasheed, S., Alsubaie, S., & Alonaizan, Y. (2024). SADA: Saudi Audio Dataset for Arabic. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 10286-10290. https://doi.org/10.1109/ICASSP48485.2024.10446243"
