bibtex_key,authors,year,title,venue,pages,doi,url,accessed,chapters,confidence,raw
bencherif2025araspeech,"Bencherif, M., Algabri, M., Alsulaiman, M., Muhammad, G., Al-Gahtani, S., Mekhtiche, M., Faisal, M., Albogamy, F., & Alfakih, T",2025,L2AraSpeech [Data set],IEEE Dataport,,10.21227/ma12-bz74,https://doi.org/10.21227/ma12-bz74,,12,high,"Bencherif, M., Algabri, M., Alsulaiman, M., Muhammad, G., Al-Gahtani, S., Mekhtiche, M., Faisal, M., Albogamy, F., & Alfakih, T. (2025). L2AraSpeech [Data set]. IEEE Dataport. https://doi.org/10.21227/ma12-bz74"
bender2018data,"Bender, E. M., & Friedman, B",2018,Data statements for natural language processing: Toward mitigating system bias and enabling better science,"Transactions of the Association for Computational Linguistics, 6",587-604,10.1162/tacl_a_00041,https://doi.org/10.1162/tacl_a_00041,,13,high,"Bender, E. M., & Friedman, B. (2018). Data statements for natural language processing: Toward mitigating system bias and enabling better science. Transactions of the Association for Computational Linguistics, 6, 587-604. https://doi.org/10.1162/tacl_a_00041"
bernard2021phonemizer,"Bernard, M., & Titeux, H",2021,Phonemizer: Text to phones transcription for multiple languages in Python,"Journal of Open Source Software, 6(68), 3958",,10.21105/joss.03958,https://doi.org/10.21105/joss.03958,,9,high,"Bernard, M., & Titeux, H. (2021). Phonemizer: Text to phones transcription for multiple languages in Python. Journal of Open Source Software, 6(68), 3958. https://doi.org/10.21105/joss.03958"
beukelman2013augmentati,"Beukelman, D. R., & Mirenda, P",2013,Augmentative and alternative communication: Supporting children and adults with complex communication needs (4th ed.),Paul H. Brookes Publishing,,,https://archive.org/details/augmentativealte0000beuk_4ed,9 August 2026,12,high,"Beukelman, D. R., & Mirenda, P. (2013). Augmentative and alternative communication: Supporting children and adults with complex communication needs (4th ed.). Paul H. Brookes Publishing. https://archive.org/details/augmentativealte0000beuk_4ed Accessed 9 August 2026."
bhatti2026multi,"Bhatti, H. H., Alam, F., & Chowdhury, S. A",2026,Multi-task instruction tuning via data scheduling for low-resource Arabic SpeechLLMs,arXiv:2601.12494,,,https://arxiv.org/abs/2601.12494,27 July 2026,1,medium,"Bhatti, H. H., Alam, F., & Chowdhury, S. A. (2026). Multi-task instruction tuning via data scheduling for low-resource Arabic SpeechLLMs. arXiv:2601.12494. https://arxiv.org/abs/2601.12494 Accessed 27 July 2026."
biadsy2009spoken,"Biadsy, F., Hirschberg, J., & Habash, N",2009,Spoken Arabic dialect identification using phonotactic modeling,EACL Workshop on Computational Approaches to Semitic Languages,53-61,,https://aclanthology.org/W09-0807/,19 June 2026,2;8,high,"Biadsy, F., Hirschberg, J., & Habash, N. (2009). Spoken Arabic dialect identification using phonotactic modeling. EACL Workshop on Computational Approaches to Semitic Languages, 53-61. https://aclanthology.org/W09-0807/ Accessed 19 June 2026."
bianco2022arabceleb,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I",2022,ArabCeleb: Speaker recognition in Arabic,"AIxIA 2021: Advances in Artificial Intelligence, Lecture Notes in Computer Science 13196. Springer",338-347,10.1007/978-3-031-08421-8_23,https://doi.org/10.1007/978-3-031-08421-8_23,,1;7;8,high,"Bianco, S., Celona, L., Khalifa, I., Napoletano, P., Petrovsky, A., Piccoli, F., Schettini, R., & Shanin, I. (2022). ArabCeleb: Speaker recognition in Arabic. AIxIA 2021: Advances in Artificial Intelligence, Lecture Notes in Computer Science 13196. Springer. https://doi.org/10.1007/978-3-031-08421-8_23"
boersma2026praat,"Boersma, P., & Weenink, D",2026,"Praat: Doing phonetics by computer [computer program], version 6.4.67",,,,https://www.fon.hum.uva.nl/praat/,28 July 2026,7,medium,"Boersma, P., & Weenink, D. (2026). Praat: Doing phonetics by computer [computer program], version 6.4.67. https://www.fon.hum.uva.nl/praat/ Accessed 28 July 2026."
borsos2023audiolm,"Borsos, Z., Marinier, R., Vincent, D., Kharitonov, E., Pietquin, O., Sharifi, M., Roblek, D., Teboul, O., Grangier, D., Tagliasacchi, M., & Zeghidour, N",2023,AudioLM: A language modeling approach to audio generation,"IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31",2523-2533,10.1109/TASLP.2023.3288409,https://doi.org/10.1109/TASLP.2023.3288409,,11,high,"Borsos, Z., Marinier, R., Vincent, D., Kharitonov, E., Pietquin, O., Sharifi, M., Roblek, D., Teboul, O., Grangier, D., Tagliasacchi, M., & Zeghidour, N. (2023). AudioLM: A language modeling approach to audio generation. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 2523-2533. https://doi.org/10.1109/TASLP.2023.3288409"
bouchakour2026enhancing,"Bouchakour, L., Lounnas, K., & Debyeche, M",2026,Enhancing robustness of Arabic speech recognition in noisy environments using advanced feature extraction and denoising techniques based on deep learning models,"Circuits, Systems, and Signal Processing, 45(6)",4646-4681,10.1007/s00034-025-03418-w,https://doi.org/10.1007/s00034-025-03418-w,,8,high,"Bouchakour, L., Lounnas, K., & Debyeche, M. (2026). Enhancing robustness of Arabic speech recognition in noisy environments using advanced feature extraction and denoising techniques based on deep learning models. Circuits, Systems, and Signal Processing, 45(6), 4646-4681. https://doi.org/10.1007/s00034-025-03418-w"
bougares2025tedxtn,"Bougares, F., Mdhaffar, S., Elleuch, H., & Estève, Y",2025,TEDxTN: A three-way speech translation corpus for code-switched Tunisian Arabic-English,Proceedings of the Third Arabic Natural Language Processing Conference (ArabicNLP),278-287,10.18653/v1/2025.arabicnlp-main.22,https://doi.org/10.18653/v1/2025.arabicnlp-main.22,,1;10,high,"Bougares, F., Mdhaffar, S., Elleuch, H., & Estève, Y. (2025). TEDxTN: A three-way speech translation corpus for code-switched Tunisian Arabic-English. Proceedings of the Third Arabic Natural Language Processing Conference (ArabicNLP). https://doi.org/10.18653/v1/2025.arabicnlp-main.22"
bredin2020pyannote,"Bredin, H., Yin, R., Coria, J. M., Gelly, G., Korshunov, P., Lavechin, M., Fustes, D., Titeux, H., Bouaziz, W., & Gill, M.-P",2020,pyannote.audio: Neural building blocks for speaker diarization,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",7124-7128,10.1109/ICASSP40776.2020.9052974,https://doi.org/10.1109/ICASSP40776.2020.9052974,,8,high,"Bredin, H., Yin, R., Coria, J. M., Gelly, G., Korshunov, P., Lavechin, M., Fustes, D., Titeux, H., Bouaziz, W., & Gill, M.-P. (2020). pyannote.audio: Neural building blocks for speaker diarization. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 7124-7128. https://doi.org/10.1109/ICASSP40776.2020.9052974"
brown2020language,"Brown, T. B., Mann, B., Ryder, N., Subbiah, M., Kaplan, J., Dhariwal, P., Neelakantan, A., Shyam, P., Sastry, G., Askell, A., Agarwal, S., Herbert-Voss, A., Krueger, G., Henighan, T., Child, R., Ramesh, A., Ziegler, D. M., Wu, J., Winter, C., Hesse, C., Chen, M., Sigler, E., Litwin, M., Gray, S., Chess, B., Clark, J., Berner, C., McCandlish, S., Radford, A., Sutskever, I., & Amodei, D",2020,Language models are few-shot learners,Advances in Neural Information Processing Systems 33 (NeurIPS),1877-1901,,https://proceedings.neurips.cc/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html,7 August 2026,11,high,"Brown, T. B., Mann, B., Ryder, N., Subbiah, M., Kaplan, J., Dhariwal, P., Neelakantan, A., Shyam, P., Sastry, G., Askell, A., Agarwal, S., Herbert-Voss, A., Krueger, G., Henighan, T., Child, R., Ramesh, A., Ziegler, D. M., Wu, J., Winter, C., Hesse, C., Chen, M., Sigler, E., Litwin, M., Gray, S., Chess, B., Clark, J., Berner, C., McCandlish, S., Radford, A., Sutskever, I., & Amodei, D. (2020). Language models are few-shot learners. Advances in Neural Information Processing Systems 33 (NeurIPS), 1877-1901. https://proceedings.neurips.cc/paper/2020/hash/1457c0d6bfcb4967418bfb8ac142f64a-Abstract.html Accessed 7 August 2026."
budzianowski2018multiwoz,"Budzianowski, P., Wen, T.-H., Tseng, B.-H., Casanueva, I., Ultes, S., Ramadan, O., & Gašić, M",2018,MultiWOZ: A large-scale multi-domain wizard-of-Oz dataset for task-oriented dialogue modelling,Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing (EMNLP),5016-5026,10.18653/v1/D18-1547,https://doi.org/10.18653/v1/D18-1547,,10,high,"Budzianowski, P., Wen, T.-H., Tseng, B.-H., Casanueva, I., Ultes, S., Ramadan, O., & Gašić, M. (2018). MultiWOZ: A large-scale multi-domain wizard-of-Oz dataset for task-oriented dialogue modelling. Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing (EMNLP), 5016-5026. https://doi.org/10.18653/v1/D18-1547"
berard2016listen,"Bérard, A., Pietquin, O., Servan, C., & Besacier, L",2016,Listen and translate: A proof of concept for end-to-end speech-to-text translation,NIPS 2016 Workshop on End-to-End Learning for Speech and Audio Processing. arXiv preprint arXiv:1612.01744,,,https://arxiv.org/abs/1612.01744,,10,high,"Bérard, A., Pietquin, O., Servan, C., & Besacier, L. (2016). Listen and translate: A proof of concept for end-to-end speech-to-text translation. NIPS 2016 Workshop on End-to-End Learning for Speech and Audio Processing. arXiv preprint arXiv:1612.01744. https://arxiv.org/abs/1612.01744"
canavan1997callhome,"Canavan, A., Zipperlen, G., & Graff, D",1997,CALLHOME Egyptian Arabic Speech (LDC97S45),"Linguistic Data Consortium, Philadelphia",,,https://catalog.ldc.upenn.edu/LDC97S45,26 July 2026,1;7,high,"Canavan, A., Zipperlen, G., & Graff, D. (1997). CALLHOME Egyptian Arabic Speech (LDC97S45). Linguistic Data Consortium, Philadelphia. https://catalog.ldc.upenn.edu/LDC97S45 Accessed 26 July 2026."
carlini2018audio,"Carlini, N., & Wagner, D",2018,Audio adversarial examples: Targeted attacks on speech-to-text,2018 IEEE Security and Privacy Workshops (SPW),1-7,10.1109/SPW.2018.00009,https://doi.org/10.1109/SPW.2018.00009,,13,high,"Carlini, N., & Wagner, D. (2018). Audio adversarial examples: Targeted attacks on speech-to-text. 2018 IEEE Security and Privacy Workshops (SPW), 1-7. https://doi.org/10.1109/SPW.2018.00009"
chan2016listen,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O",2016,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",4960-4964,10.1109/ICASSP.2016.7472621,https://doi.org/10.1109/ICASSP.2016.7472621,,1;5,high,"Chan, W., Jaitly, N., Le, Q., & Vinyals, O. (2016). Listen, attend and spell: A neural network for large vocabulary conversational speech recognition. IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP). https://doi.org/10.1109/ICASSP.2016.7472621"
chemnad2023advancemen,"Chemnad, K., & Othman, A",2023,Advancements in Arabic text-to-speech systems: A 22-year literature review,"IEEE Access, 11",30929-30954,10.1109/ACCESS.2023.3260844,https://doi.org/10.1109/ACCESS.2023.3260844,,9,high,"Chemnad, K., & Othman, A. (2023). Advancements in Arabic text-to-speech systems: A 22-year literature review. IEEE Access, 11, 30929-30954. https://doi.org/10.1109/ACCESS.2023.3260844"
chen2022wavlm,"Chen, S., Wang, C., Chen, Z., Wu, Y., Liu, S., Chen, Z., Li, J., Kanda, N., Yoshioka, T., Xiao, X., Wu, J., Zhou, L., Ren, S., Qian, Y., Qian, Y., Wu, J., Zeng, M., Yu, X., & Wei, F",2022,WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing,"IEEE Journal of Selected Topics in Signal Processing, 16(6)",1505-1518,10.1109/JSTSP.2022.3188113,https://doi.org/10.1109/JSTSP.2022.3188113,,3;6,high,"Chen, S., Wang, C., Chen, Z., Wu, Y., Liu, S., Chen, Z., Li, J., Kanda, N., Yoshioka, T., Xiao, X., Wu, J., Zhou, L., Ren, S., Qian, Y., Qian, Y., Wu, J., Zeng, M., Yu, X., & Wei, F. (2022). WavLM: Large-Scale Self-Supervised Pre-Training for Full Stack Speech Processing. IEEE Journal of Selected Topics in Signal Processing, 16(6), 1505-1518. https://doi.org/10.1109/JSTSP.2022.3188113"
chen2026habibi,"Chen, Y., Liu, J., Tu, Y., Niu, Z., Liang, Y., Qiang, C., Zhang, C., Yu, K., & Chen, X",2026,Habibi: Laying the open-source foundation of unified-dialectal Arabic speech synthesis,arXiv preprint arXiv:2601.13802,,,https://arxiv.org/abs/2601.13802,,7,medium,"Chen, Y., Liu, J., Tu, Y., Niu, Z., Liang, Y., Qiang, C., Zhang, C., Yu, K., & Chen, X. (2026). Habibi: Laying the open-source foundation of unified-dialectal Arabic speech synthesis. arXiv preprint arXiv:2601.13802. https://arxiv.org/abs/2601.13802"
cho2014learning,"Cho, K., van Merrienboer, B., Gulcehre, C., Bahdanau, D., Bougares, F., Schwenk, H., & Bengio, Y",2014,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP),1724-1734,10.3115/v1/D14-1179,https://doi.org/10.3115/v1/D14-1179,,4,high,"Cho, K., van Merrienboer, B., Gulcehre, C., Bahdanau, D., Bougares, F., Schwenk, H., & Bengio, Y. (2014). Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation. Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP), 1724-1734. https://doi.org/10.3115/v1/D14-1179"
chowdhury2020effects,"Chowdhury, S. A., Samih, Y., Eldesouki, M., & Ali, A",2020,Effects of dialectal code-switching on speech modules: A study using Egyptian Arabic broadcast speech,Interspeech,2382-2386,10.21437/Interspeech.2020-2271,https://doi.org/10.21437/Interspeech.2020-2271,,8,high,"Chowdhury, S. A., Samih, Y., Eldesouki, M., & Ali, A. (2020). Effects of dialectal code-switching on speech modules: A study using Egyptian Arabic broadcast speech. Interspeech, 2382-2386. https://doi.org/10.21437/Interspeech.2020-2271"
chu2024qwen,"Chu, Y., Xu, J., Yang, Q., Wei, H., Wei, X., Guo, Z., Leng, Y., Lv, Y., He, J., Lin, J., Zhou, C., & Zhou, J",2024,Qwen2-Audio technical report,arXiv preprint arXiv:2407.10759,,,https://arxiv.org/abs/2407.10759,,11,medium,"Chu, Y., Xu, J., Yang, Q., Wei, H., Wei, X., Guo, Z., Leng, Y., Lv, Y., He, J., Lin, J., Zhou, C., & Zhou, J. (2024). Qwen2-Audio technical report. arXiv preprint arXiv:2407.10759. https://arxiv.org/abs/2407.10759"
cieri2004fisher,"Cieri, C., Miller, D., & Walker, K",2004,The Fisher corpus: A resource for the next generations of speech-to-text,Proceedings of the Fourth International Conference on Language Resources and Evaluation (LREC),,,https://aclanthology.org/L04-1500/,28 July 2026,7,high,"Cieri, C., Miller, D., & Walker, K. (2004). The Fisher corpus: A resource for the next generations of speech-to-text. Proceedings of the Fourth International Conference on Language Resources and Evaluation (LREC). https://aclanthology.org/L04-1500/ Accessed 28 July 2026."
cohen1960coefficien,"Cohen, J",1960,A coefficient of agreement for nominal scales,"Educational and Psychological Measurement, 20(1)",37-46,10.1177/001316446002000104,https://doi.org/10.1177/001316446002000104,,7,high,"Cohen, J. (1960). A coefficient of agreement for nominal scales. Educational and Psychological Measurement, 20(1), 37-46. https://doi.org/10.1177/001316446002000104"
conneau2023fleurs,"Conneau, A., Ma, M., Khanuja, S., Zhang, Y., Axelrod, V., Dalmia, S., Riesa, J., Rivera, C., & Bapna, A",2023,FLEURS: Few-shot learning evaluation of universal representations of speech,IEEE Spoken Language Technology Workshop (SLT),798-805,10.1109/SLT54892.2023.10023141,https://doi.org/10.1109/SLT54892.2023.10023141,,6;7,high,"Conneau, A., Ma, M., Khanuja, S., Zhang, Y., Axelrod, V., Dalmia, S., Riesa, J., Rivera, C., & Bapna, A. (2023). FLEURS: Few-shot learning evaluation of universal representations of speech. IEEE Spoken Language Technology Workshop (SLT), 798-805. https://doi.org/10.1109/SLT54892.2023.10023141"
costajussa2025belebele,"Costa-jussà, M. R., Yu, B., Andrews, P., Alastruey, B., Camgoz, N. C., Chuang, J., Maillard, J., Ropers, C., Turkatenko, A., & Wood, C",2025,2M-Belebele: Highly multilingual speech and American Sign Language comprehension dataset,Findings of the Association for Computational Linguistics: ACL 2025,10893-10904,,https://aclanthology.org/2025.findings-acl.569/,29 July 2026,7,high,"Costa-jussà, M. R., Yu, B., Andrews, P., Alastruey, B., Camgoz, N. C., Chuang, J., Maillard, J., Ropers, C., Turkatenko, A., & Wood, C. (2025). 2M-Belebele: Highly multilingual speech and American Sign Language comprehension dataset. Findings of the Association for Computational Linguistics: ACL 2025, 10893-10904. https://aclanthology.org/2025.findings-acl.569/ Accessed 29 July 2026."
cui2025recent,"Cui, W., Yu, D., Jiao, X., Meng, Z., Zhang, G., Wang, Q., Guo, S. Y., & King, I",2025,Recent advances in speech language models: A survey,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),13943-13970,10.18653/v1/2025.acl-long.682,https://doi.org/10.18653/v1/2025.acl-long.682,,1;11,high,"Cui, W., Yu, D., Jiao, X., Meng, Z., Zhang, G., Wang, Q., Guo, S. Y., & King, I. (2025). Recent advances in speech language models: A survey. Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), 13943-13970. https://doi.org/10.18653/v1/2025.acl-long.682"
darwish2021arabic,"Darwish, K., Abdelali, A., Mubarak, H., & Eldesouki, M",2021,Arabic diacritic recovery using a feature-rich biLSTM model,"ACM Transactions on Asian and Low-Resource Language Information Processing, 20(2)",,10.1145/3434235,https://doi.org/10.1145/3434235,,2;9,high,"Darwish, K., Abdelali, A., Mubarak, H., & Eldesouki, M. (2021). Arabic diacritic recovery using a feature-rich biLSTM model. ACM Transactions on Asian and Low-Resource Language Information Processing, 20(2). https://doi.org/10.1145/3434235"
darwish2018diacritiza,"Darwish, K., Abdelali, A., Mubarak, H., Samih, Y., & Attia, M",2018,Diacritization of Moroccan and Tunisian Arabic dialects: A CRF approach,"Proceedings of the 3rd Workshop on Open-Source Arabic Corpora and Processing Tools (OSACT3), LREC 2018, Miyazaki, Japan.  Accessed 27 July 2026. Archived at",,,https://web.archive.org/web/20250701152735/http://lrec-conf.org/workshops/lrec2018/W30/pdf/20_W30.pdf,,2,high,"Darwish, K., Abdelali, A., Mubarak, H., Samih, Y., & Attia, M. (2018). Diacritization of Moroccan and Tunisian Arabic dialects: A CRF approach. Proceedings of the 3rd Workshop on Open-Source Arabic Corpora and Processing Tools (OSACT3), LREC 2018, Miyazaki, Japan. http://lrec-conf.org/workshops/lrec2018/W30/pdf/20_W30.pdf Accessed 27 July 2026. Archived at https://web.archive.org/web/20250701152735/http://lrec-conf.org/workshops/lrec2018/W30/pdf/20_W30.pdf"
davis1980comparison,"Davis, S., & Mermelstein, P",1980,Comparison of parametric representations for monosyllabic word recognition in continuously spoken sentences,"IEEE Transactions on Acoustics, Speech, and Signal Processing, 28(4)",357-366,10.1109/TASSP.1980.1163420,https://doi.org/10.1109/TASSP.1980.1163420,,3,high,"Davis, S., & Mermelstein, P. (1980). Comparison of parametric representations for monosyllabic word recognition in continuously spoken sentences. IEEE Transactions on Acoustics, Speech, and Signal Processing, 28(4), 357-366. https://doi.org/10.1109/TASSP.1980.1163420"
dehak2011front,"Dehak, N., Kenny, P. J., Dehak, R., Dumouchel, P., & Ouellet, P",2011,Front-end factor analysis for speaker verification,"IEEE Transactions on Audio, Speech, and Language Processing, 19(4)",788-798,10.1109/TASL.2010.2064307,https://doi.org/10.1109/TASL.2010.2064307,,8,high,"Dehak, N., Kenny, P. J., Dehak, R., Dumouchel, P., & Ouellet, P. (2011). Front-end factor analysis for speaker verification. IEEE Transactions on Audio, Speech, and Language Processing, 19(4), 788-798. https://doi.org/10.1109/TASL.2010.2064307"
desplanques2020ecapa,"Desplanques, B., Thienpondt, J., & Demuynck, K",2020,"ECAPA-TDNN: Emphasized channel attention, propagation and aggregation in TDNN based speaker verification",Interspeech,3830-3834,10.21437/Interspeech.2020-2650,https://doi.org/10.21437/Interspeech.2020-2650,,8,high,"Desplanques, B., Thienpondt, J., & Demuynck, K. (2020). ECAPA-TDNN: Emphasized channel attention, propagation and aggregation in TDNN based speaker verification. Interspeech, 3830-3834. https://doi.org/10.21437/Interspeech.2020-2650"
dhouib2022arabic,"Dhouib, A., Othman, A., El Ghoul, O., Khribi, M. K., & Al Sinani, A",2022,Arabic automatic speech recognition: A systematic literature review,"Applied Sciences, 12(17), 8898",,10.3390/app12178898,https://doi.org/10.3390/app12178898,,1,high,"Dhouib, A., Othman, A., El Ghoul, O., Khribi, M. K., & Al Sinani, A. (2022). Arabic automatic speech recognition: A systematic literature review. Applied Sciences, 12(17), 8898. https://doi.org/10.3390/app12178898"
djanibekov2025dialectal,"Djanibekov, A., Toyin, H. O., Alshalan, R., Alatir, A., & Aldarmaki, H",2025,Dialectal coverage and generalization in Arabic speech recognition,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),29490-29502,10.18653/v1/2025.acl-long.1427,https://doi.org/10.18653/v1/2025.acl-long.1427,,13,high,"Djanibekov, A., Toyin, H. O., Alshalan, R., Alatir, A., & Aldarmaki, H. (2025). Dialectal coverage and generalization in Arabic speech recognition. Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), 29490-29502. https://doi.org/10.18653/v1/2025.acl-long.1427"
doan2024towards,"Doan, K., Waheed, A., & Abdul-Mageed, M",2024,Towards zero-shot text-to-speech for Arabic dialects,Proceedings of the Second Arabic Natural Language Processing Conference (ArabicNLP),123-129,10.18653/v1/2024.arabicnlp-1.11,https://doi.org/10.18653/v1/2024.arabicnlp-1.11,,9,high,"Doan, K., Waheed, A., & Abdul-Mageed, M. (2024). Towards zero-shot text-to-speech for Arabic dialects. Proceedings of the Second Arabic Natural Language Processing Conference (ArabicNLP), 123-129. https://doi.org/10.18653/v1/2024.arabicnlp-1.11"
defossez2023high,"Défossez, A., Copet, J., Synnaeve, G., & Adi, Y",2023,High fidelity neural audio compression,Transactions on Machine Learning Research,,,https://openreview.net/forum?id=ivCd8z8zR2,7 August 2026,11,high,"Défossez, A., Copet, J., Synnaeve, G., & Adi, Y. (2023). High fidelity neural audio compression. Transactions on Machine Learning Research. https://openreview.net/forum?id=ivCd8z8zR2 Accessed 7 August 2026."
defossez2024moshi,"Défossez, A., Mazaré, L., Orsini, M., Royer, A., Pérez, P., Jégou, H., Grave, E., & Zeghidour, N",2024,Moshi: A speech-text foundation model for real-time dialogue,arXiv preprint arXiv:2410.00037,,,https://arxiv.org/abs/2410.00037,,11,medium,"Défossez, A., Mazaré, L., Orsini, M., Royer, A., Pérez, P., Jégou, H., Grave, E., & Zeghidour, N. (2024). Moshi: A speech-text foundation model for real-time dialogue. arXiv preprint arXiv:2410.00037. https://arxiv.org/abs/2410.00037"
elleuch2025arabic,"Elleuch, H., Mdhaffar, S., Estève, Y., & Bougares, F",2025,ADI-20: Arabic dialect identification dataset and models,Interspeech,2775-2779,10.21437/Interspeech.2025-884,https://doi.org/10.21437/Interspeech.2025-884,,8,high,"Elleuch, H., Mdhaffar, S., Estève, Y., & Bougares, F. (2025). ADI-20: Arabic dialect identification dataset and models. Interspeech, 2775-2779. https://doi.org/10.21437/Interspeech.2025-884"
elsetohy2026arfake,"Elsetohy, M., Ehab, A., Mekky, A., Hassan, B., & Shehata, S",2026,ArFake: A robust framework for multi-dialect Arabic speech spoofing detection benchmark,"arXiv preprint arXiv:2509.22808 (v1 September 2025, revised June 2026)",,,https://arxiv.org/abs/2509.22808,10 August 2026,13,medium,"Elsetohy, M., Ehab, A., Mekky, A., Hassan, B., & Shehata, S. (2026). ArFake: A robust framework for multi-dialect Arabic speech spoofing detection benchmark. arXiv preprint arXiv:2509.22808, revised June 2026. https://arxiv.org/abs/2509.22808 Accessed 10 August 2026."
elshafei1991toward,"Elshafei Ahmed, M",1991,Toward an Arabic text-to-speech system,"The Arabian Journal for Science and Engineering, 16(4B)",565-583,,,,1,high,"Elshafei Ahmed, M. (1991). Toward an Arabic text-to-speech system. The Arabian Journal for Science and Engineering, 16(4B), 565-583."
elshafei2002techniques,"Elshafei, M., Al-Muhtaseb, H., & Al-Ghamdi, M",2002,Techniques for high quality Arabic speech synthesis,"Information Sciences, 140(3-4)",255-267,10.1016/S0020-0255(01)00175-X,https://doi.org/10.1016/S0020-0255(01)00175-X,,9,high,"Elshafei, M., Al-Muhtaseb, H., & Al-Ghamdi, M. (2002). Techniques for high quality Arabic speech synthesis. Information Sciences, 140(3-4), 255-267. https://doi.org/10.1016/S0020-0255(01)00175-X"
eskenazi2009overview,"Eskenazi, M",2009,An overview of spoken language technology for education,"Speech Communication, 51(10)",832-844,10.1016/j.specom.2009.04.005,https://doi.org/10.1016/j.specom.2009.04.005,,12,high,"Eskenazi, M. (2009). An overview of spoken language technology for education. Speech Communication, 51(10), 832-844. https://doi.org/10.1016/j.specom.2009.04.005"
fanar2026fanar,Fanar Team,2026,Fanar 2.0: Arabic generative AI stack,arXiv preprint arXiv:2603.16397,,,https://arxiv.org/abs/2603.16397,,11,medium,Fanar Team. (2026). Fanar 2.0: Arabic generative AI stack. arXiv preprint arXiv:2603.16397. https://arxiv.org/abs/2603.16397
farhan2021sparta,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T",2021,SPARTA: Speaker profiling for ARabic TAlk,28th Conference of Open Innovations Association (FRUCT),103-110,10.23919/FRUCT50888.2021.9347615,https://doi.org/10.23919/FRUCT50888.2021.9347615,,1;8,high,"Farhan, W., Za’ter, M. E., Abu Obaidah, Q., al Bataineh, H., Sober, Z., & Al-Natsheh, H. T. (2021). SPARTA: Speaker profiling for ARabic TAlk. 28th Conference of Open Innovations Association (FRUCT). https://doi.org/10.23919/FRUCT50888.2021.9347615"
federico2020from,"Federico, M., Enyedi, R., Barra-Chicote, R., Giri, R., Isik, U., Krishnaswamy, A., & Sawaf, H",2020,From speech-to-speech translation to automatic dubbing,Proceedings of the 17th International Conference on Spoken Language Translation,257-264,,https://aclanthology.org/2020.iwslt-1.31/,10 August 2026,12,high,"Federico, M., Enyedi, R., Barra-Chicote, R., Giri, R., Isik, U., Krishnaswamy, A., & Sawaf, H. (2020). From speech-to-speech translation to automatic dubbing. Proceedings of the 17th International Conference on Spoken Language Translation, 257-264. https://aclanthology.org/2020.iwslt-1.31/ Accessed 10 August 2026."
feng2026voxlect,"Feng, T., Huang, K., Xu, A., Shi, X., Lertpetchpun, T., Lee, J., Lee, Y., Byrd, D., & Narayanan, S",2026,Voxlect: A speech foundation model benchmark for modeling dialects and regional languages around the globe,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,2640-2651,10.1145/3770854.3785687,https://doi.org/10.1145/3770854.3785687,,13,high,"Feng, T., Huang, K., Xu, A., Shi, X., Lertpetchpun, T., Lee, J., Lee, Y., Byrd, D., & Narayanan, S. (2026). Voxlect: A speech foundation model benchmark for modeling dialects and regional languages around the globe. Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1, 2640-2651. https://doi.org/10.1145/3770854.3785687"
ferguson1959diglossia,"Ferguson, C. A",1959,Diglossia,"Word, 15(2)",325-340,10.1080/00437956.1959.11659702,https://doi.org/10.1080/00437956.1959.11659702,,1;2,high,"Ferguson, C. A. (1959). Diglossia. Word, 15(2), 325-340. https://doi.org/10.1080/00437956.1959.11659702"
