"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Munsit at NADI 2025 Shared Task 2: Pushing the Boundaries of Multidialectal Arabic ASR with Weakly Supervised Pretraining and Continual Supervised Fine-tuning","https://arxiv.org/abs/2508.08912v1","2025","Preprint","","Mahmoud Salhab
Shameed Sait
Mohammad Abusheikh
Hasan Abusheikh","","https://arxiv.org/pdf/2508.08912v1","Yes","","","","","","","http://arxiv.org/abs/2508.08912v1","2025-08-12T13:02:22Z","cs.CL","cs.CL, cs.AI","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses weakly supervised pretraining and continual fine‑tuning for multi‑dialectal Arabic ASR, employing modern neural models and addressing data scarcity; evaluation is limited to challenge ranking, no multilingual or real‑time aspects.","Automatic speech recognition (ASR) plays a vital role in enabling natural human-machine interaction across applications such as virtual assistants, industrial automation, customer support, and real-time transcription. However, developing accurate ASR systems for low-resource languages like Arabic remains a significant challenge due to limited labeled data and the linguistic complexity introduced by diverse dialects. In this work, we present a scalable training pipeline that combines weakly supervised learning with supervised fine-tuning to develop a robust Arabic ASR model. In the first stage, we pretrain the model on 15,000 hours of weakly labeled speech covering both Modern Standard Arabic (MSA) and various Dialectal Arabic (DA) variants. In the subsequent stage, we perform continual supervised fine-tuning using a mixture of filtered weakly labeled data and a small, high-quality annotated dataset. Our approach achieves state-of-the-art results, ranking first in the multi-dialectal Arabic ASR challenge. These findings highlight the effectiveness of weak supervision paired with fine-tuning in overcoming data scarcity and delivering high-quality ASR for low-resource, dialect-rich languages."
"Automatic Pronunciation Error Detection and Correction of the Holy Quran's Learners Using Deep Learning","https://arxiv.org/abs/2509.00094v1","2025","Preprint","","Abdullah Abdelfattah
Mahmoud I. Khalil
Hazem Abbas","","https://arxiv.org/pdf/2509.00094v1","Yes","","","","","","","http://arxiv.org/abs/2509.00094v1","2025-08-27T15:28:46Z","eess.AS","eess.AS, cs.AI, cs.CL, cs.LG, cs.SD","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic ASR with custom phonetic script and multi-level CTC, providing a large annotated Quranic dataset; focuses on Arabic speech processing and recognition, employs modern neural models, but lacks public benchmark evaluation, multilingual work, or real-time implementation.","Assessing spoken language is challenging, and quantifying pronunciation metrics for machine learning models is even harder. However, for the Holy Quran, this task is simplified by the rigorous recitation rules (tajweed) established by Muslim scholars, enabling highly effective assessment. Despite this advantage, the scarcity of high-quality annotated data remains a significant barrier. In this work, we bridge these gaps by introducing: (1) A 98% automated pipeline to produce high-quality Quranic datasets -- encompassing: Collection of recitations from expert reciters, Segmentation at pause points (waqf) using our fine-tuned wav2vec2-BERT model, Transcription of segments, Transcript verification via our novel Tasmeea algorithm; (2) 850+ hours of audio (~300K annotated utterances); (3) A novel ASR-based approach for pronunciation error detection, utilizing our custom Quran Phonetic Script (QPS) to encode Tajweed rules (unlike the IPA standard for Modern Standard Arabic). QPS uses a two-level script: (Phoneme level): Encodes Arabic letters with short/long vowels. (Sifa level): Encodes articulation characteristics of every phoneme. We further include comprehensive modeling with our novel multi-level CTC Model which achieved 0.16% average Phoneme Error Rate (PER) on the testset. We release all code, data, and models as open-source: https://obadx.github.io/prepare-quran-dataset/"
"Open Automatic Speech Recognition Models for Classical and Modern Standard Arabic","https://arxiv.org/abs/2507.13977v1","2025","Preprint","","Lilit Grigoryan
Nikolay Karpov
Enas Albasiri
Vitaly Lavrukhin
Boris Ginsburg","","https://arxiv.org/pdf/2507.13977v1","Yes","","","","","","","http://arxiv.org/abs/2507.13977v1","2025-07-18T14:42:18Z","cs.CL","cs.CL, eess.AS","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses FastConformer to train MSA and unified MSA‑Classical Arabic ASR models, open‑sources them, reports SOTA WER on public corpora; focuses on Arabic speech recognition, includes thorough evaluation, but does not target low‑resource methods, multilingual beyond Arabic variants, or real‑time deployment.","Despite Arabic being one of the most widely spoken languages, the development of Arabic Automatic Speech Recognition (ASR) systems faces significant challenges due to the language's complexity, and only a limited number of public Arabic ASR models exist. While much of the focus has been on Modern Standard Arabic (MSA), there is considerably less attention given to the variations within the language. This paper introduces a universal methodology for Arabic speech and text processing designed to address unique challenges of the language. Using this methodology, we train two novel models based on the FastConformer architecture: one designed specifically for MSA and the other, the first unified public model for both MSA and Classical Arabic (CA). The MSA model sets a new benchmark with state-of-the-art (SOTA) performance on related datasets, while the unified model achieves SOTA accuracy with diacritics for CA while maintaining strong performance for MSA. To promote reproducibility, we open-source the models and their training recipes."
"Connecting Arabs: Bridging the gap in dialectal speech recognition","https://dl.acm.org/doi/abs/10.1145/3451150","2021","Journal Article","Communications of The ACM","Ahmed Ali
Shammur Absar Chowdhury
Mohamed Afify
Wassim El-Hajj
Hazem Hajj
Mourad Abbas
Amir Hussein
Nada Ghneim
Mohammad A. M. Abushariah
Assal Ali Mustafa Alqudah","10.1145/3451150","https://dl.acm.org/doi/pdf/10.1145/3451150","No","34","ro_mYPT22n4J","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on dialectal Arabic ASR, presenting challenges and analysis; uses standard methods without neural end‑to‑end models or extensive evaluations; touches on data scarcity but lacks dedicated low‑resource techniques.","AUTOMATIC SPEECH RECOGNITION refers to the process through which speech is converted into text. Over the decades, automatic speech recognition has achieved many milestones, thanks to advances in machine learning and low-cost computer hardware. As a result, the best systems for English have achieved a single-digit word error rate (WER) and, in some conversational tasks, performance is comparable to human transcribers. This led researchers to debate whether the machine has reached human parity in speech recognition.9,16 Unlike English, speech recognition in Arabic faces many challenges, even with such advanced techniques. Arabic poses a set of unique challenges due to its rich dialectal variety, with modern standard Arabic (MSA) being the only standardized dialect. MSA is syntactically, morphologically, and phonologically grounded on classical Arabic, the language of the Qur’an (Islam’s Holy Book). Lexically, however, it is much more modern. MSA is taught in schools across the Arab region and is the main language in news broadcasts, parliaments, and formal speech. This is one of the main reasons why MSA has been the main choice for speech and language technology for the last two decades. The current WER for MSA automatic speech recognition (ASR) is about 13%, and is worse for dialectal ASR, where the WER averages 30%.1,3 Remarkably, the 400 million Arabic native speakers (estimated in 2020) use Dialectal Arabic (DA) as their means of communication in dayto-day speech. MSA is not the native language of any Arab. Dialects used to be primarily spoken, not written. However, this has changed with the rise of Web 2.0, when DA became a written, as well as a spoken, language. An objective comparison of the varieties of Arabic dialects could potentially lead to the conclusion that Arabic dialects are historically related, and that they are not mutually intelligible languages like English and Dutch. Normal vernacular can be difficult to understand across different Arabic dialects. The tomato example in Figure 1 shows lexical variation across multiple Arabic countries. How different is tomato in Arabic compared to English? In English, there is one lexical form for tomato and two phonological variations, with a 16.7% difference between to-MAY-to and to-MAH-to, while DA has 10 lexical variations with 67% average-character difference and 15 phonological variaDOI:10.1145/3451150"
"VoxArabica: A Robust Dialect-Aware Arabic Speech Recognition System","https://scispace.com/papers/voxarabica-a-robust-dialect-aware-arabic-speech-recognition-2k8cmhx10w","2023","Journal Article","","Abdül Waheed
Bashar Talafha
Peter Sullivan
AbdelRahim Elmadany
Muhammad Abdul-Mageed","10.18653/v1/2023.arabicnlp-1.38","https://scispace.com/pdf/voxarabica-a-robust-dialect-aware-arabic-speech-recognition-2k8cmhx10w.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a robust dialect-aware Arabic ASR system, directly addressing Arabic speech processing and recognition. Uses dialect identification integration but lacks details on end‑to‑end neural models, extensive benchmarks, or real‑time implementation; mentions low‑resource dialects and multi‑dialect handling.","Arabic is a complex language with many varieties and dialects spoken by ~ 450 millions all around the world. Due to the linguistic diversity and vari-ations, it is challenging to build a robust and gen-eralized ASR system for Arabic. In this work, we address this gap by developing and demoing a system, dubbed VoxArabica, for dialect identi-fication (DID) as well as automatic speech recog-nition (ASR) of Arabic. We train a wide range of models such as HuBERT (DID), Whisper, and XLS-R (ASR) in a supervised setting for Arabic DID and ASR tasks. Our DID models are trained to identify 17 different dialects in addition to MSA. We finetune our ASR models on MSA, Egyptian, Moroccan, and mixed data. Additionally, for the re-maining dialects in ASR, we provide the option to choose various models such as Whisper and MMS in a zero-shot setting. We integrate these models into a single web interface with diverse features such as audio recording, file upload, model selec-tion, and the option to raise flags for incorrect out-puts. Overall, we believe VoxArabica will be use-ful for a wide range of audiences concerned with Arabic research. Our system is currently running at https://cdce-206-12-100-168.ngrok.io/."
"Investigating the effects of gender, dialect, and training size on the performance of Arabic speech recognition","https://scispace.com/papers/investigating-the-effects-of-gender-dialect-and-training-25tpoopgbv","2020","Journal Article","Language Resources and Evaluation","Eiman Alsharhan
Allan Ramsay","10.1007/S10579-020-09505-5","https://scispace.com/pdf/investigating-the-effects-of-gender-dialect-and-training-25tpoopgbv.pdf","Yes","40","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic ASR, analyzing gender, dialect, and training size impacts; uses extensive experiments on Arabic corpora reporting WER. Explores data size effects, relevant to low-resource studies. Evaluation is thorough. No neural end‑to‑end, multilingual, or real‑time aspects.","Research in Arabic automatic speech recognition (ASR) is constrained by datasets of limited size, and of highly variable content and quality. Arabic-language resources vary in the attributes that affect language resources in other languages (noise, channel, speaker, genre), but also vary significantly in the dialect and level of formality of the spoken Arabic they capture. Many languages suffer similar levels of cross-dialect and cross-register acoustic variability, but these effects have been under-studied. This paper is an experimental analysis of the interaction between classical ASR corpus-compensation methods (feature selection, data selection, gender-dependent acoustic models) and the dialect-dependent/register-dependent variation among Arabic ASR corpora. The first interaction studied in this paper is that between acoustic recording quality and discrete pronunciation variation. Discrete pronunciation variation can be compensated by using grapheme-based instead of phone-based acoustic models, and by filtering out speakers with insufficient training data; the latter technique also helps to compensate for poor recording quality, which is further compensated by eliminating delta-delta acoustic features. All three techniques, together, reduce Word Error Rate (WER) by between 3.24% and 5.35%. The second aspect of dialect and register variation to be considered is variation in the fine-grained acoustic pronunciations of each phoneme in the language. Experimental results prove that gender and dialect are the principal components of variation in speech, therefore, building gender and dialect-specific models leads to substantial decreases in WER. In order to further explore the degree of acoustic differences between phone models required for each of the dialects of Arabic, cross-dialect experiments are conducted to measure how far apart Arabic dialects are acoustically in order to make a better decision about the minimal number of recognition systems needed to cover all dialectal Arabic. Finally, the research addresses an important question: how much training data is needed for building efficient speaker-independent ASR systems? This includes developing some learning curves to find out how large must the training set be to achieve acceptable performance."
"ELYADATA & LIA at NADI 2025: ASR and ADI Subtasks","https://arxiv.org/abs/2511.10090v1","2025","Preprint","","Haroun Elleuch
Youssef Saidi
Salima Mdhaffar
Yannick Estève
Fethi Bougares","10.18653/v1/2025.arabicnlp-sharedtasks.105","https://arxiv.org/pdf/2511.10090v1","Yes","","","","","","","http://arxiv.org/abs/2511.10090v1","2025-11-13T08:44:39Z","cs.CL","cs.CL","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Whisper-large-v3 and SeamlessM4T fine‑tuned for Arabic dialect ASR, with data augmentation and challenge‑set WER/CER reporting.","This paper describes Elyadata \& LIA's joint submission to the NADI multi-dialectal Arabic Speech Processing 2025. We participated in the Spoken Arabic Dialect Identification (ADI) and multi-dialectal Arabic ASR subtasks. Our submission ranked first for the ADI subtask and second for the multi-dialectal Arabic ASR subtask among all participants. Our ADI system is a fine-tuned Whisper-large-v3 encoder with data augmentation. This system obtained the highest ADI accuracy score of \textbf{79.83\%} on the official test set. For multi-dialectal Arabic ASR, we fine-tuned SeamlessM4T-v2 Large (Egyptian variant) separately for each of the eight considered dialects. Overall, we obtained an average WER and CER of \textbf{38.54\%} and \textbf{14.53\%}, respectively, on the test set. Our results demonstrate the effectiveness of large pre-trained speech models with targeted fine-tuning for Arabic speech processing."
"Arabic speech recognition by end-to-end, modular systems and human","https://scispace.com/papers/arabic-speech-recognition-by-end-to-end-modular-systems-and-3c3f6ab6","2022","Journal Article","Computer Speech & Language","","10.1016/j.csl.2021.101272","https://scispace.com/pdf/arabic-speech-recognition-by-end-to-end-modular-systems-and-3c3f6ab6.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses end‑to‑end Transformer models for Arabic ASR, evaluates on dialectal and MSA corpora with detailed WER results; modest low‑resource coverage; no multilingual or real‑time focus.",""
"NADI 2025: The First Multidialectal Arabic Speech Processing Shared Task","https://arxiv.org/abs/2509.02038v2","2025","Preprint","","Bashar Talafha
Hawau Olamide Toyin
Peter Sullivan
AbdelRahim Elmadany
Abdurrahman Juma
Amirbek Djanibekov
Chiyu Zhang
Hamad Alshehhi
Hanan Aldarmaki
Mustafa Jarrar
Nizar Habash
Muhammad Abdul-Mageed","","https://arxiv.org/pdf/2509.02038v2","Yes","","","","","","","http://arxiv.org/abs/2509.02038v2","2025-09-03T22:50:00Z","cs.CL","cs.CL, cs.SD","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Focuses on Arabic speech processing and ASR via shared‑task results; includes dialect ID, recognition, and diacritic restoration with detailed WER/CER evaluation.","We present the findings of the sixth Nuanced Arabic Dialect Identification (NADI 2025) Shared Task, which focused on Arabic speech dialect processing across three subtasks: spoken dialect identification (Subtask 1), speech recognition (Subtask 2), and diacritic restoration for spoken dialects (Subtask 3). A total of 44 teams registered, and during the testing phase, 100 valid submissions were received from eight unique teams. The distribution was as follows: 34 submissions for Subtask 1 ""five teamsæ, 47 submissions for Subtask 2 ""six teams"", and 19 submissions for Subtask 3 ""two teams"". The best-performing systems achieved 79.8% accuracy on Subtask 1, 35.68/12.20 WER/CER (overall average) on Subtask 2, and 55/13 WER/CER on Subtask 3. These results highlight the ongoing challenges of Arabic dialect speech processing, particularly in dialect identification, recognition, and diacritic restoration. We also summarize the methods adopted by participating teams and briefly outline directions for future editions of NADI."
"Development of a Deep Learning-based Arabic Speech Recognition System for Automatons","https://scispace.com/papers/development-of-a-deep-learning-based-arabic-speech-cmclph2c5tch","2024","Journal Article","Engineering, Technology & Applied Science Research","Abdulrahman Alahmadi
Ahmed Alahmadi
Eman Alduweib
Waseem Alromema
Beena Ahmed","10.48084/etasr.8661","https://scispace.com/pdf/development-of-a-deep-learning-based-arabic-speech-cmclph2c5tch.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses LSTM/GRU deep models for Arabic ASR achieving 4.69% WER; evaluates on own dataset with precision 99%; lacks modern end‑to‑end architectures and public‑corpus benchmarks.","The latest developments in voice recognition have achieved amazing results that are on par with those of human transcribers. However, this significant efficiency may not apply to all languages, nor Arabic. Arabic is the native language of 22 countries and is spoken by approximately 400 million individuals. Verbal difficulties have become a growing problem in recent decades, especially among children, and data samples on Arabic phonetic recognition are limited. For Arabic pronunciation, Artificial Intelligence (AI) techniques show encouraging results. Some devices, such as the Servox Digital Electro-Larynx (EL), can produce voice for such individuals. This study presents a Deep Learning-based Arabic speech recognition system for automatons to recognize captured sounds from the Servox Digital EL. The proposed system employs an autoencoder using a mix of Long-Short-Term Memory (LSTM), and Gated Recurrent Unit (GRU) models. The proposed approach has three main stages: de-noising, feature extraction, and Arabic pronunciation. The experimental findings demonstrate that the proposed model was 95.31% accurate for Arabic speech recognition. The evaluation shows that the use of GRU in both the encoding and decoding structures improves efficiency. The proposed model had a Word Error Rate (WER) of 4.69%. The test results demonstrate that the proposed model can be used to create a real-time application to recognize commonly spoken Arabic words."
"Deep Learning Methods for Arabic Autoencoder Speech Recognition System for Electro-Larynx Device","https://scispace.com/papers/deep-learning-methods-for-arabic-autoencoder-speech-2tkw03p7","2023","Journal Article","Advances in Human-computer Interaction","Z. J. Mohammed Ameen
Abdulkareem Abdulrahman Kadhim","10.1155/2023/7398538","https://scispace.com/pdf/deep-learning-methods-for-arabic-autoencoder-speech-2tkw03p7.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses LSTM/GRU autoencoder for Arabic speech recognition achieving 95% accuracy (WER 4.1%). Employs neural RNNs but lacks modern end‑to‑end models; no low‑resource, multilingual, or real‑time focus.","Recent advances in speech recognition have achieved remarkable performance comparable with human transcribers’ abilities. But this significant performance is not the same for all the spoken languages. The Arabic language is one of them. Arabic speech recognition is bounded to the lack of suitable datasets. Artificial intelligence algorithms have shown promising capabilities for Arabic speech recognition. Arabic is the official language of 22 countries, and it has been estimated that 400 million people speak the Arabic language worldwide. Speech disabilities have been one of the expanding problems in the last decades, even in kids. Some devices can be used to generate speech for those people. One of these devices is the Servox Digital Electro-Larynx (EL). In this research, we developed an autoencoder with a combination of long short-term memory (LSTM) and gated recurrent units (GRU) models to recognize recorded signals from Servox Digital EL Electro-Larynx. The proposed framework consisted of three steps: denoising, feature extraction, and Arabic speech recognition. The experimental results show 95.31% accuracy for Arabic speech recognition with the proposed model. In this research, we evaluated different combinations of LSTM and GRU for constructing the best autoencoder. A rigorous evaluation process indicates better performance with the use of GRU in both encoder and decoder structures. The proposed model achieved a 4.69% word error rate (WER). Experimental results confirm that the proposed model can be used for developing a real-time app to recognize common Arabic spoken words."
"Towards Zero-Shot Text-To-Speech for Arabic Dialects","https://scispace.com/papers/towards-zero-shot-text-to-speech-for-arabic-dialects-4r3vpyf5ul","2024","Preprint","","Khoa D. Doan
Abdül Waheed
Muhammad Abdul-Mageed","10.48550/arxiv.2406.16751","https://scispace.com/pdf/towards-zero-shot-text-to-speech-for-arabic-dialects-4r3vpyf5ul.pdf","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides zero-shot Arabic dialect TTS using neural XTTS, tackles low-resource data, offers thorough evaluation, but lacks public corpus benchmarks and real-time focus.","Zero-shot multi-speaker text-to-speech (ZS-TTS) systems have advanced for English, however, it still lags behind due to insufficient resources. We address this gap for Arabic, a language of more than 450 million native speakers, by first adapting a sizeable existing dataset to suit the needs of speech synthesis. Additionally, we employ a set of Arabic dialect identification models to explore the impact of pre-defined dialect labels on improving the ZS-TTS model in a multi-dialect setting. Subsequently, we fine-tune the XTTS\footnote{https://docs.coqui.ai/en/latest/models/xtts.html}\footnote{https://medium.com/machine-learns/xtts-v2-new-version-of-the-open-source-text-to-speech-model-af73914db81f}\footnote{https://medium.com/@erogol/xtts-v1-techincal-notes-eb83ff05bdc} model, an open-source architecture. We then evaluate our models on a dataset comprising 31 unseen speakers and an in-house dialectal dataset. Our automated and human evaluation results show convincing performance while capable of generating dialectal speech. Our study highlights significant potential for improvements in this emerging area of research in Arabic."
"Arabic Little STT: Arabic Children Speech Recognition Dataset","https://arxiv.org/abs/2510.23319v1","2025","Preprint","","Mouhand Alkadri
Dania Desouki
Khloud Al Jallad","","https://arxiv.org/pdf/2510.23319v1","Yes","","","","","","","http://arxiv.org/abs/2510.23319v1","2025-10-27T13:30:54Z","cs.CL","cs.CL, cs.AI, cs.HC, cs.LG, cs.SD","arXiv","- **Relevance Score:** 100/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides Arabic child speech dataset and evaluates Whisper ASR, directly addressing Arabic speech processing and recognition. Uses transformer‑based Whisper (end‑to‑end). Highlights low‑resource challenges, limited evaluation; no multilingual or real‑time focus.","The performance of Artificial Intelligence (AI) systems fundamentally depends on high-quality training data. However, low-resource languages like Arabic suffer from severe data scarcity. Moreover, the absence of child-specific speech corpora is an essential gap that poses significant challenges. To address this gap, we present our created dataset, Arabic Little STT, a dataset of Levantine Arabic child speech recorded in classrooms, containing 355 utterances from 288 children (ages 6 - 13). We further conduct a systematic assessment of Whisper, a state-of-the-art automatic speech recognition (ASR) model, on this dataset and compare its performance with adult Arabic benchmarks. Our evaluation across eight Whisper variants reveals that even the best-performing model (Large_v3) struggles significantly, achieving a 0.66 word error rate (WER) on child speech, starkly contrasting with its sub 0.20 WER on adult datasets. These results align with other research on English speech. Results highlight the critical need for dedicated child speech benchmarks and inclusive training data in ASR development. Emphasizing that such data must be governed by strict ethical and privacy frameworks to protect sensitive child information. We hope that this study provides an initial step for future work on equitable speech technologies for Arabic-speaking children. We hope that our publicly available dataset enrich the children's demographic representation in ASR datasets."
"HARNESS: Lightweight Distilled Arabic Speech Foundation Models","https://arxiv.org/abs/2509.14689v1","2025","Preprint","","Vrunda N. sukhadia
Shammur Absar Chowdhury","","https://arxiv.org/pdf/2509.14689v1","Yes","","","","","","","http://arxiv.org/abs/2509.14689v1","2025-09-18T07:30:37Z","cs.CL","cs.CL","arXiv","- **Relevance Score:** 97/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses Arabic‑centric self‑supervised models, distills to lightweight ASR‑focused students, leverages transformer‑based SSL, targets low‑resource deployment, evaluates on multiple Arabic tasks, includes bilingual training, hints at real‑time suitability.","Large pre-trained speech models excel in downstream tasks but their deployment is impractical for resource-limited environments. In this paper, we introduce HArnESS, the first Arabic-centric self-supervised speech model family, designed to capture Arabic speech nuances. Using iterative self-distillation, we train large bilingual HArnESS (HL) SSL models and then distill knowledge into compressed student models (HS, HST), preserving Arabic-specific representations. We use low-rank approximation to further compact the teacher's discrete supervision into shallow, thin models. We evaluate HArnESS on Arabic ASR, Speaker Emotion Recognition (SER), and Dialect Identification (DID), demonstrating effectiveness against HuBERT and XLS-R. With minimal fine-tuning, HArnESS achieves SOTA or comparable performance, making it a lightweight yet powerful alternative for real-world use. We release our distilled models and findings to support responsible research and deployment in low-resource settings."
"MASC: Massive Arabic Speech Corpus","https://scispace.com/papers/masc-massive-arabic-speech-corpus-1sslca2z","2023","Proceedings Article","Spoken Language Technology Workshop","Mohammad Al-Fetyani
Muhammad Al-Barham
Gheith A. Abandah
Adham Alsharkawi
Maha Dawas","10.1109/SLT54892.2023.10022652","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a 1,000‑hour multi‑dialect Arabic speech corpus and baseline ASR model; evaluates on internal sets, but lacks neural end‑to‑end, low‑resource, multilingual, or real‑time innovations.","This paper describes the creation of the Massive Arabic Speech Corpus (MASC)11https://ieee-dataport.org/open-access/massive-arabic-speech-corpus-masc. MASC is a dataset that contains 1,000 hours of speech sampled at 16 kHz and crawled from over 700 YouTube channels. The dataset is multi-regional, multi-genre, and multi-dialect intended to advance the research and development of Arabic speech technology with a special emphasis on Arabic speech recognition. In addition to MASC, a pre-trained 3-gram language model and a pre-trained automatic speech recognition model are also developed and made available to interested researchers. To enhance the language model, a new and inclusive Arabic speech corpus is required, and thus, a dataset of 12 M unique Arabic words, originally crawled from Twitter, is also created and released. Evaluating on our newly introduced evaluation sets, the best word error rate achieved by the speech recognition model is 19.8% for the clean development set and 21.8% for the clean test set."
"ArabAlg: A new Dataset for Arabic Speech Command Recognition for Machine Learning Applications","https://scispace.com/papers/arabalg-a-new-dataset-for-arabic-speech-command-recognition-2p4dwozzk5","2024","Journal Article","International Journal of Computing and Digital Systems","Nourredine Oukas
Samia Haboussi
Chafik MAIZA
Nassim BENSLIMANE","10.12785/ijcds/150170","https://scispace.com/pdf/arabalg-a-new-dataset-for-arabic-speech-command-recognition-2p4dwozzk5.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 87/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a new Arabic speech command dataset for ASR research; lacks novel neural models, extensive cross‑lingual or real‑time evaluations.",""
"Arabic Automatic Speech Recognition: A Systematic Literature Review","https://scispace.com/papers/arabic-automatic-speech-recognition-a-systematic-literature-3cnhc6ns","2022","Journal Article","Applied Sciences","Amira Dhouib
Achraf Othman
Oussama El Ghoul
Mohamed Koutheair Khribi
Aisha Al Sinani","10.3390/app12178898","https://scispace.com/pdf/arabic-automatic-speech-recognition-a-systematic-literature-3cnhc6ns.pdf","Yes","30","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 85/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Provides a thorough review of Arabic ASR methods, datasets, and toolkits; highlights dialectal gaps and low-resource challenges but lacks novel neural models, experiments, or real-time implementations.","Automatic Speech Recognition (ASR), also known as Speech-To-Text (STT) or computer speech recognition, has been an active field of research recently. This study aims to chart this field by performing a Systematic Literature Review (SLR) to give insight into the ASR studies proposed, especially for the Arabic language. The purpose is to highlight the trends of research about Arabic ASR and guide researchers with the most significant studies published over ten years from 2011 to 2021. This SLR attempts to tackle seven specific research questions related to the toolkits used for developing and evaluating Arabic ASR, the supported type of the Arabic language, the used feature extraction/classification techniques, the type of speech recognition, the performance of Arabic ASR, the existing gaps facing researchers, along with some future research. Across five databases, 38 studies met our defined inclusion criteria. Our results showed different open-source toolkits to support Arabic speech recognition. The most prominent ones were KALDI, HTK, then CMU Sphinx toolkits. A total of 89.47% of the retained studies cover modern standard Arabic, whereas 26.32% of them were dedicated to different dialects of Arabic. MFCC and HMM were presented as the most used feature extraction and classification techniques, respectively: 63% of the papers were based on MFCC and 21% were based on HMM. The review also shows that the performance of Arabic ASR systems depends mainly on different criteria related to the availability of resources, the techniques used for acoustic modeling, and the used datasets."
"Advancing Limited Data Text-to-Speech Synthesis: Non-Autoregressive Transformer for High-Quality Parallel Synthesis","https://scispace.com/papers/advancing-limited-data-text-to-speech-synthesis-non-2g3l7rgtg8","2023","Proceedings Article","","Mohammed Salah Al-Radhi
Omnia Ibrahim
Ali R. Mandeel
Tamás Gábor Csapó
Géza Németh","10.1109/sped59241.2023.10314948","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 84/100 - **Relevance Tag:** Highly Relevant - **Reasoning:** Uses a non‑autoregressive Transformer to build a lightweight Arabic TTS system, targeting fast inference and low‑resource scenarios, with acoustic analysis and listening tests but no public corpus benchmarks or multilingual experiments.","Despite the impressive results achieved by autoregressive generative models like Tacotron2 in end-to-end speech synthesis, their slow inference speed remains a significant drawback. To overcome this limitation, non-autoregressive Text-to-Speech (TTS) models like FastSpeech2 and neural vocoders like AutoVocoder, have emerged as faster alternatives with comparable quality. In this work, we present a novel lightweight Arabic TTS system based on a transformer architecture that utilizes fewer parameters than Tacotron2. Our approach combines convolutional and transformer-based blocks and is fully based on a non-autoregressive training framework. Our system can accurately reproduce the characteristics of natural speech like tone, pitch, timing and word pronunciation with state-of-the-art quality, making it suitable for practical applications like speech synthesis for low-resource languages and conversational agents. Our method is validated by acoustic analysis and subjective listening tests."
